plate,compound,well,site,mean_C1,std_C1,median_C1,mad_C1,mean_C2,std_C2,median_C2,mad_C2,mean_C3,std_C3,median_C3,mad_C3,mean_C4,std_C4,median_C4,mad_C4,mean_C5,std_C5,median_C5,mad_C5
P015090,CBK308696,F23,s6,0.03623928326474622902,73.59602202200743193,-2.0,20.0,-2.9515275634430726548,497.36087550483944142,-9.0,38.0,0.030017789780521261789,135.55291974877670214,-4.0,31.0,0.033078703703703700445,106.8760592573152195,-4.0,31.0,0.07115526406035664608,114.526478691012457034,-5.0,24.0
P015090,CBK308696,F23,s8,0.038807227366255143963,97.17572870278938524,-2.0,20.0,-1.3630553412208503694,583.3145902276947936,-9.0,39.0,0.044998070987654320563,167.94435570610559694,-4.0,32.0,0.04628793724279835209,154.13987555327517498,-4.0,31.0,0.08905478395061727781,225.84816371434300208,-4.0,24.0
P015090,CBK308696,F23,all,0.03161912722908093165,79.71356915207323368,-1.0,20.0,-1.9289529749657063906,487.30626573364128262,-7.0,37.0,0.026125943072702332431,133.99784177645346972,-3.0,30.0,0.028136788408779148801,118.22576198050010987,-3.0,30.0,0.06379513888888889428,153.97328414115111173,-4.0,23.0
P015090,CBK308696,G08,s2,0.043665123456790126688,90.13794058581427748,-2.0,21.0,-3.7679552469135804138,572.9173743464617701,-9.0,35.0,0.036392746913580249768,184.68644964855209878,-5.0,32.0,0.03886681241426611505,172.55278755903003685,-4.0,31.0,0.06370220336076817813,175.28683976838325975,-5.0,26.0
P015090,CBK308696,G08,s4,0.031323302469135803905,95.36608695707987238,-2.0,20.0,-1.2276755401234566989,457.09629320061242197,-6.0,32.0,0.026404535322359395932,130.84622025094444098,-3.0,29.0,0.031477194787379973728,147.90196192731076508,-3.0,29.0,0.05023148148148148112,185.7209501072139517,-3.0,24.0
P015090,CBK308696,G08,s5,0.055297282235939645978,113.833179046733221185,-2.0,20.0,-0.50945944787379970897,502.5175486726126337,-7.0,32.0,0.051796339163237309355,152.70116054147482032,-3.0,30.0,0.069194530178326468794,182.03739691254250488,-4.0,29.0,0.100638717421124831986,232.81323151011042683,-4.0,24.0
P015090,CBK308696,G08,s6,0.02653978052126200124,64.46734861610840994,-1.0,20.0,-5.0235939643347053973,469.61685758625179687,-6.0,30.0,0.028345979080932785094,115.80354832908327012,-2.0,28.0,0.026994813100137175776,92.31067586691762017,-2.0,28.0,0.06904085219478738045,129.1327289078222691,-3.0,22.0
P015090,CBK308696,G08,s8,0.047037037037037036924,104.233342982925009323,-1.0,20.0,-1.2469718792866941737,533.39367671461002374,-6.0,32.0,0.038972050754458163746,184.34736874180833865,-3.0,28.0,0.046373456790123460114,175.4056180409497756,-3.0,29.0,0.06412658607681755163,202.30910378537291194,-3.0,23.0
P015090,CBK308696,G08,all,0.04077250514403292503,95.07698028730146689,-2.0,20.0,-2.355131215706447012,508.8730795686658439,-7.0,32.0,0.03638233024691357731,156.16777967683540851,-3.0,29.0,0.042581361454046638693,157.52806831419249534,-3.0,29.0,0.06954796810699588605,188.16162458163188376,-4.0,24.0
P015090,CBK308696,all,all,0.03537419981710104855,89.82205457113735747,-2.0,20.0,-1.7283544953132143895,497.24838503727465877,-7.0,34.0,0.03163977480566986661,147.6379062627899259,-3.0,30.0,0.03628447930955647216,149.98780329628968389,-3.0,30.0,0.06902530578417924445,177.04245636658970398,-4.0,24.0
P015090,CBK308923,F03,s2,0.027880658436213991147,53.471058267203979142,-1.0,19.0,-0.79099365569272972465,394.72553262394040985,-4.0,27.0,0.02533200445816186433,111.25889168839161414,-2.0,27.0,0.03758273319615912378,90.96098748839857251,-2.0,27.0,0.07289866255144032692,87.44767385044330865,-2.0,22.0
P015090,CBK308923,F03,s4,0.034278978052126200804,73.68503050380202524,-1.0,19.0,-0.34259152091906719395,509.59548469803678472,-5.0,29.0,0.025563271604938271608,142.33967619665347115,-2.0,27.0,0.03533757716049382852,165.78011888331587897,-3.0,28.0,0.060614711934156378925,186.25081216970264109,-3.0,23.0
P015090,CBK308923,F03,s5,0.039210390946502055032,93.38175650243341863,-2.0,20.0,-0.65068222736625513924,502.82954394010226906,-7.0,30.0,0.034874185528120715816,152.64251002846515348,-4.0,30.0,0.04339913408779149523,190.99684727179499077,-4.0,30.0,0.06554290980795610122,218.86830555431561152,-4.0,25.0
P015090,CBK308923,F03,s6,0.038950188614540463827,80.44513922124248495,-2.0,20.0,-0.10396862139917695256,436.61090420459788675,-9.0,32.0,0.030107167352537721888,125.56150092697856735,-4.0,32.0,0.04003643689986282478,137.18374293469537406,-4.0,31.0,0.07698152434842249481,171.5519552734201909,-6.0,26.0
P015090,CBK308923,F03,s8,0.034453017832647460372,75.990726928361382875,-1.0,20.0,-0.23085369513031550603,445.72835857163346418,-6.0,30.0,0.029945987654320986582,125.04482452490447031,-3.0,29.0,0.03786029663923182187,146.21051887814118686,-3.0,29.0,0.06048546810699588494,174.71024247073518154,-3.0,24.0
P015090,CBK308923,F03,all,0.034954646776406035624,76.49156989901470638,-1.0,20.0,-0.4238179441015089144,459.92097975588109193,-6.0,29.0,0.029164523319615911351,132.1671358434040826,-3.0,29.0,0.038843235596707818835,149.95575342309399502,-3.0,29.0,0.06730465534979424014,173.31678411096032733,-4.0,24.0
P015090,CBK308923,K11,s2,0.052321459190672152395,81.90852286363940493,-2.0,20.0,-2.5065856481481483264,432.45018971046073375,-7.0,31.0,0.05384945130315500761,132.48372650671424822,-4.0,30.0,0.06121506344307270364,122.496076645891278645,-4.0,31.0,0.10044345850480110305,156.7810066502606503,-4.0,24.0
