plate,well,site,bf_site,nuclei_count
P015092,E21,s8,s5,143
P015092,F05,s2,s1,84
P015092,F05,s4,s2,56
P015092,F05,s5,s3,109
P015092,F05,s6,s4,105
P015092,F05,s8,s5,112
P015092,F08,s2,s1,96
P015092,F08,s4,s2,127
P015092,F08,s5,s3,145
P015092,F08,s6,s4,105
P015092,F08,s8,s5,191
P015092,F14,s2,s1,130
P015092,F14,s4,s2,159
P015092,F14,s5,s3,138
P015092,F14,s6,s4,108
P015092,F14,s8,s5,176
P015092,G10,s2,s1,54
P015092,G10,s4,s2,74
P015092,G10,s5,s3,77
P015092,G10,s6,s4,58
P015092,G10,s8,s5,70
P015092,H08,s2,s1,108
P015092,H08,s4,s2,135
P015092,H08,s5,s3,124
P015092,H08,s6,s4,93
P015092,H08,s8,s5,88
P015092,H13,s2,s1,124
P015092,H13,s4,s2,92
P015092,H13,s5,s3,95
P015092,H13,s6,s4,61
P015092,H13,s8,s5,64
P015092,H17,s2,s1,123
P015092,H17,s4,s2,204
P015092,H17,s5,s3,118
P015092,H17,s6,s4,72
P015092,H17,s8,s5,86
P015092,H21,s2,s1,71
P015092,H21,s4,s2,139
P015092,H21,s5,s3,84
P015092,H21,s6,s4,45
P015092,H21,s8,s5,96
P015092,H23,s2,s1,116
P015092,H23,s4,s2,165
P015092,H23,s5,s3,84
P015092,H23,s6,s4,66
P015092,H23,s8,s5,114
P015092,I13,s2,s1,84
P015092,I13,s4,s2,90
P015092,I13,s5,s3,87
P015092,I13,s6,s4,66
P015092,I13,s8,s5,103
P015092,I19,s2,s1,39
P015092,I19,s4,s2,56
P015092,I19,s5,s3,20
P015092,I19,s6,s4,24
P015092,I19,s8,s5,33
P015092,J20,s2,s1,54
P015092,J20,s4,s2,63
P015092,J20,s5,s3,52
P015092,J20,s6,s4,26
P015092,J20,s8,s5,57
P015092,K02,s2,s1,46
P015092,K02,s4,s2,50
P015092,K02,s5,s3,50
P015092,K02,s6,s4,52
P015092,K02,s8,s5,54
P015092,K14,s2,s1,107
P015092,K14,s4,s2,84
P015092,K14,s5,s3,44
P015092,K14,s6,s4,18
P015092,K14,s8,s5,70
P015092,K19,s2,s1,154
P015092,K19,s4,s2,147
P015092,K19,s5,s3,87
P015092,K19,s6,s4,56
P015092,K19,s8,s5,44
P015092,K22,s2,s1,104
P015092,K22,s4,s2,105
P015092,K22,s5,s3,72
P015092,K22,s6,s4,73
P015092,K22,s8,s5,90
P015092,L04,s2,s1,137
P015092,L04,s4,s2,72
P015092,L04,s5,s3,107
P015092,L04,s6,s4,170
P015092,L04,s8,s5,61
P015092,L05,s2,s1,122
P015092,L05,s4,s2,52
P015092,L05,s5,s3,77
P015092,L05,s6,s4,120
P015092,L05,s8,s5,104
P015092,L17,s2,s1,126
P015092,L17,s4,s2,76
P015092,L17,s5,s3,67
P015092,L17,s6,s4,77
P015092,L17,s8,s5,74
P015092,L20,s2,s1,81
P015092,L20,s4,s2,123
P015092,L20,s5,s3,78
P015092,L20,s6,s4,106
P015092,L20,s8,s5,66
P015092,M12,s2,s1,57
P015092,M12,s4,s2,18
P015092,M12,s5,s3,36
P015092,M12,s6,s4,36
P015092,M12,s8,s5,30
P015092,N06,s2,s1,137
P015092,N06,s4,s2,60
P015092,N06,s5,s3,142
P015092,N06,s6,s4,133
P015092,N06,s8,s5,152
P015092,O16,s2,s1,127
P015092,O16,s4,s2,130
P015092,O16,s5,s3,143
P015092,O16,s6,s4,77
P015092,O16,s8,s5,87
P015092,O20,s2,s1,71
P015092,O20,s4,s2,69
P015092,O20,s5,s3,41
P015092,O20,s6,s4,44
P015092,O20,s8,s5,36
P015092,E07,s2,s1,142
P015092,E07,s4,s2,103
P015092,E07,s5,s3,159
P015092,E07,s6,s4,115
P015092,E07,s8,s5,135
P015092,L12,s2,s1,156
P015092,L12,s4,s2,125
P015092,L12,s5,s3,112
P015092,L12,s6,s4,110
P015092,L12,s8,s5,72
P015092,M08,s2,s1,141
P015092,M08,s4,s2,102
P015092,M08,s5,s3,84
P015092,M08,s6,s4,124
P015092,M08,s8,s5,74
P015092,N05,s2,s1,101
P015092,N05,s4,s2,39
P015092,N05,s5,s3,57
P015092,N05,s6,s4,81
P015092,N05,s8,s5,64
P015092,O02,s2,s1,113
P015092,O02,s4,s2,99
P015092,O02,s5,s3,110
P015092,O02,s6,s4,95
P015092,O02,s8,s5,112
P015092,C06,s2,s1,74
P015092,C06,s4,s2,51
P015092,C06,s5,s3,86
P015092,C06,s6,s4,101
P015092,C06,s8,s5,109
P015092,F12,s2,s1,73
P015092,F12,s4,s2,110
P015092,F12,s5,s3,86
P015092,F12,s6,s4,87
P015092,F12,s8,s5,120
P015092,G19,s2,s1,112
P015092,G19,s4,s2,157
P015092,G19,s5,s3,117
P015092,G19,s6,s4,108
P015092,G19,s8,s5,123
P015092,H15,s2,s1,86
P015092,H15,s4,s2,128
P015092,H15,s5,s3,101
P015092,H15,s6,s4,66
P015092,H15,s8,s5,78
P015092,I04,s2,s1,93
P015092,I04,s4,s2,81
P015092,I04,s5,s3,74
P015092,I04,s6,s4,136
P015092,I04,s8,s5,72
P015092,O17,s2,s1,56
P015092,O17,s4,s2,81
P015092,O17,s5,s3,66
P015092,O17,s6,s4,44
P015092,O17,s8,s5,59
P015092,N20,s2,s1,102
P015092,N20,s4,s2,77
P015092,N20,s5,s3,75
P015092,N20,s6,s4,83
P015092,N20,s8,s5,93
P015092,B08,s2,s1,64
P015092,B08,s4,s2,85
P015092,B08,s5,s3,86
P015092,B08,s6,s4,117
P015092,B08,s8,s5,156
P015092,C12,s2,s1,48
P015092,C12,s4,s2,77
P015092,C12,s5,s3,76
P015092,C12,s6,s4,86
P015092,C12,s8,s5,125
P015092,D02,s2,s1,0
P015092,D02,s4,s2,0
P015092,D02,s5,s3,0
P015092,D02,s6,s4,0
P015092,D02,s8,s5,1
P015092,D20,s2,s1,56
P015092,D20,s4,s2,108
P015092,D20,s5,s3,90
P015092,D20,s6,s4,79
P015092,D20,s8,s5,133
P015092,E09,s2,s1,104
P015092,E09,s4,s2,137
P015092,E09,s5,s3,124
P015092,E09,s6,s4,85
P015092,E09,s8,s5,155
P015092,F06,s2,s1,123
P015092,F06,s4,s2,141
P015092,F06,s5,s3,187
P015092,F06,s6,s4,157
P015092,F06,s8,s5,160
P015092,F19,s2,s1,137
P015092,F19,s4,s2,136
P015092,F19,s5,s3,112
P015092,F19,s6,s4,140
P015092,F19,s8,s5,142
P015092,G04,s2,s1,0
P015092,G04,s4,s2,0
P015092,G04,s5,s3,0
P015092,G04,s6,s4,0
P015092,G04,s8,s5,1
P015092,K23,s2,s1,86
P015092,K23,s4,s2,93
P015092,K23,s5,s3,48
P015092,K23,s6,s4,65
P015092,K23,s8,s5,110
P015092,L23,s2,s1,72
P015092,L23,s4,s2,122
P015092,L23,s5,s3,83
P015092,L23,s6,s4,51
P015092,L23,s8,s5,37
P015092,M23,s2,s1,0
P015092,M23,s4,s2,0
P015092,M23,s5,s3,0
P015092,M23,s6,s4,1
P015092,M23,s8,s5,0
P015092,N14,s2,s1,130
P015092,N14,s4,s2,104
P015092,N14,s5,s3,44
P015092,N14,s6,s4,67
P015092,N14,s8,s5,99
P015092,J10,s2,s1,165
P015092,J10,s4,s2,118
P015092,J10,s5,s3,106
P015092,J10,s6,s4,97
P015092,J10,s8,s5,55
P015092,K04,s2,s1,102
P015092,K04,s4,s2,81
P015092,K04,s5,s3,81
P015092,K04,s6,s4,170
P015092,K04,s8,s5,81
P015093,B04,s2,s1,42
P015093,B04,s4,s2,51
P015093,B04,s5,s3,74
P015093,B04,s6,s4,100
P015093,B04,s8,s5,141
P015093,B08,s2,s1,39
P015093,B08,s4,s2,50
P015093,B08,s5,s3,58
P015093,B08,s6,s4,101
P015093,B08,s8,s5,84
P015093,B23,s2,s1,77
P015093,B23,s4,s2,99
P015093,B23,s5,s3,81
P015093,B23,s6,s4,96
P015093,B23,s8,s5,113
P015093,C10,s2,s1,30
P015093,C10,s4,s2,25
P015093,C10,s5,s3,50
P015093,C10,s6,s4,68
P015093,C10,s8,s5,94
P015093,C18,s2,s1,30
P015093,C18,s4,s2,60
P015093,C18,s5,s3,51
P015093,C18,s6,s4,42
P015093,C18,s8,s5,97
P015093,D18,s2,s1,55
P015093,D18,s4,s2,107
P015093,D18,s5,s3,119
P015093,D18,s6,s4,80
P015093,D18,s8,s5,146
P015093,E15,s2,s1,163
P015093,E15,s4,s2,191
P015093,E15,s5,s3,154
