plate,compound,well,mean_C1,std_C1,median_C1,mad_C1,mean_C2,std_C2,median_C2,mad_C2,mean_C3,std_C3,median_C3,mad_C3,mean_C4,std_C4,median_C4,mad_C4,mean_C5,std_C5,median_C5,mad_C5
P015098,CBK309655,F09,233.7544079837296,174.03263657826906,204.0,20.0,805.0279640584514,982.2181674475052,565.0,70.0,1070.44627176688,408.97284335302203,946.0,81.0,792.1701210038485,425.73585134579577,675.0,63.0,365.12400024767567,297.1945876301305,278.0,35.0
P015098,CBK309655,M17,220.94773026691814,162.38173351123754,197.0,19.0,939.1246520395138,1014.9173692683951,736.0,78.0,1085.576025353414,391.83735761701416,987.0,77.0,809.8790104166667,412.74229794736937,713.0,61.0,343.5384263069654,272.03250964449626,274.0,32.0
P015098,CBK309655,all,229.62050423430117,172.77607037572938,202.0,20.0,876.7158734059849,1059.8901412165105,632.0,105.0,1083.071633976655,407.8850305520726,967.0,83.0,807.507907712239,433.85155577368675,694.0,65.0,360.48600974667227,289.95726176227157,279.0,34.0
P015098,dmso,B19,286.8403639403292,273.7232960279591,211.0,24.0,1576.2281929441015,907.7425345114854,1272.0,191.0,1506.8509939891023,725.958048392392,1158.0,274.0,1046.054852323388,725.596893712836,752.0,162.0,582.934215892204,602.5662469411304,331.0,102.0
P015098,dmso,C21,288.7410490016766,271.89968438220654,211.0,25.0,1789.9098589201342,935.9665808854613,1467.0,218.0,1515.0837591687623,748.5330019400343,1196.0,330.0,1052.7637818406113,757.7614570702858,747.0,181.0,606.2576064529035,632.144729712927,349.0,117.0
P015098,dmso,D23,280.2688785293781,264.2613896953967,210.0,24.0,1966.7608176392698,1070.5527989548311,1601.0,248.0,1440.4588478080705,722.0154058513607,1071.0,234.0,989.2664090839811,714.9840208398666,695.0,142.0,563.2454911836992,614.9249193131174,306.0,87.0
P015098,dmso,E10,266.744689690977,231.68546231362083,213.0,23.0,1164.2781852042372,1075.6118051979408,811.0,127.0,1320.3391782407407,682.2080172924246,1024.0,138.0,933.8861813652644,689.9808811339578,681.0,97.0,490.41199790904585,566.3212446868516,285.0,53.0
P015098,dmso,E14,284.1128025453437,264.4418267154799,215.0,24.0,1368.7284609339279,1092.0919552293685,995.0,184.0,1427.633494917886,734.2094624184416,1063.0,221.0,1022.3502145966697,775.0471728138663,712.0,140.0,558.5467985063252,613.1350829423079,305.0,82.0
P015098,dmso,F04,274.62307351204083,237.06195319519776,215.0,24.0,1102.79870282255,1048.086584685876,712.0,139.0,1373.7857096145785,754.0546216322078,986.0,181.0,987.1004659398338,775.3783761002736,662.0,122.0,546.9290104404816,603.2907231654476,298.0,71.0
P015098,dmso,F16,287.98405190233956,272.0566255056065,213.0,25.0,1524.2491360882486,1077.0150343203265,1127.0,201.0,1487.2146059575523,744.795752893366,1130.0,275.0,1062.9938232072093,792.2896804401213,744.0,165.0,591.678443287037,636.5036806328668,327.0,103.0
P015098,dmso,G09,278.6773149577046,250.77087768958538,215.0,24.0,1101.67078848975,893.6258721144313,795.0,138.0,1411.880789275644,703.5889067124898,1060.0,190.0,1004.5678460552888,730.8618034992991,706.0,124.0,543.1733691034141,574.9833777009296,303.0,72.0
P015098,dmso,G22,283.3674050497257,268.7694093481557,209.0,24.0,2012.425460033722,1059.5225899339355,1660.0,268.0,1430.674502934004,694.7481696162777,1120.0,275.0,1003.401370575179,719.3192812115475,715.0,157.0,578.2742282998018,615.5015889955366,328.0,103.0
P015098,dmso,H05,285.09735620522787,260.64935728835064,214.0,24.0,1172.0120063157294,1035.5243491511785,781.0,167.0,1493.9179399338896,800.8531923668115,1071.0,268.0,1077.9435661484529,828.6880930816093,721.0,163.0,614.4371269861683,670.730660699951,327.0,99.0
P015098,dmso,H17,277.85115650243864,256.360681754395,210.0,24.0,1631.9726266479956,1113.4135821756638,1240.0,208.0,1486.585336481672,738.4829853809345,1120.0,234.0,1073.1731586981787,808.0661584436564,749.0,145.0,569.0452111434995,614.0655472983177,312.0,86.0
P015098,dmso,I15,274.480222384164,247.18558867963492,212.0,24.0,1390.7202124771377,969.3661891469548,1065.0,161.0,1378.9999205294544,704.7763723076636,1036.0,193.0,987.3667898376772,749.9672340116691,695.0,126.0,532.5758921801173,586.6349754964053,294.0,73.0
P015098,dmso,J03,273.9727135249962,243.84620822429227,212.0,24.0,1027.2219469926458,974.8778217140127,689.0,133.0,1469.522171496342,811.9367473750835,1050.0,201.0,1058.4959203532235,848.9705437368416,705.0,132.0,562.5170984082076,635.1309353494079,300.0,74.0
P015098,dmso,J08,277.17619574950464,248.6669886189475,214.0,24.0,1212.6297727099527,1109.70632686168,806.0,158.0,1477.3768660693872,750.8051524611674,1099.0,201.0,1072.6964473546334,818.829027956099,740.0,136.0,562.5888763384012,612.5614412829157,307.0,76.0
P015098,dmso,K11,280.0017578541762,254.70972411193102,215.0,24.0,1169.6494141756211,944.4696943827139,837.0,148.0,1472.7446523729234,716.2915743173359,1125.0,208.0,1063.232930098308,772.9649302158491,758.0,138.0,544.8754947559443,583.6487678884029,303.0,75.0
P015098,dmso,K13,274.2644801668953,252.58267769049988,214.0,23.0,1213.7633472889042,987.9190727622745,910.0,147.0,1410.7456616988645,687.346107403172,1095.0,180.0,1004.3762322102194,733.6882595789103,729.0,120.0,512.2264517842174,571.7528038968495,287.0,64.0
P015098,dmso,L18,283.54103206923486,262.72219434618495,212.0,25.0,1706.3069225584895,1066.0775843492613,1337.0,223.0,1546.45865919353,747.5591935040621,1196.0,284.0,1099.1449625628716,795.9931714645538,778.0,167.0,593.9343076512727,631.1237995533676,331.0,103.0
P015098,dmso,M02,277.70226959019203,247.24279412919554,213.0,24.0,1121.7688582152111,1047.497092927458,750.0,159.0,1471.1691500914494,821.2006398691915,1040.0,195.0,1081.2439479976376,875.1604023211279,703.0,133.0,575.1680408140909,631.6001614645901,307.0,77.0
P015098,dmso,M07,282.3973327713001,253.67735325406096,215.0,25.0,1158.284736249238,980.1751471361243,792.0,157.0,1510.0734514793858,752.9429105710534,1118.0,240.0,1077.1650987368541,769.9062575639143,750.0,150.0,579.621548734949,618.573239946156,314.0,87.0
P015098,dmso,N12,281.72827446273436,263.9779578638222,216.0,24.0,1311.212617645938,1157.444818677522,894.0,171.0,1442.5122139107987,743.9747077534897,1075.0,201.0,1016.8350901872809,754.4516421057137,716.0,130.0,544.9566038665981,614.6572505812118,298.0,73.0
P015098,dmso,O06,273.39090099165526,241.3528309807598,213.0,24.0,1096.2411048715896,909.4615594032448,778.0,131.0,1480.4621966687623,744.0535689482294,1115.0,184.0,1040.051462143728,746.2646283866717,742.0,119.0,536.2911854852538,583.1570039014446,303.0,67.0
P015098,dmso,O20,258.82233381915864,230.13136859323416,203.0,22.0,1814.617908450503,1022.1755959304448,1481.0,203.0,1356.489997189834,667.292390478202,1048.0,158.0,932.5670514212773,657.950740075156,683.0,105.0,484.1436848898796,540.59840008795,272.0,57.0
P015098,dmso,all,278.7175297827815,254.84445263702588,213.0,24.0,1392.4295944397682,1067.7040874350653,1089.0,350.0,1450.4990954101197,739.3802723368675,1086.0,224.0,1031.2126183062621,768.5690162596126,722.0,141.0,557.9014856415232,608.5425461999589,305.0,80.0
P015099,CBK011613,C19,325.83970221764974,315.4549689570897,214.0,30.0,1390.4879935175659,1240.8147221517315,942.0,249.0,1903.6705510783418,1053.9238663615656,1712.0,690.0,1306.6697603261698,962.7409634051057,967.0,330.0,816.9479635345222,920.4666142011647,496.0,224.0
P015099,CBK011613,F02,299.01171560642433,293.60181739505384,213.0,25.0,999.0995715211096,982.9780628672038,695.0,148.0,2309.244840701684,1241.8614046455393,1753.0,443.0,1704.164148972146,1348.0737589776102,1138.0,243.0,709.9242755963268,887.4616629139744,359.0,105.0
P015099,CBK011613,L07,283.68103164056544,264.21389614664145,210.0,25.0,1068.492085095641,955.2431810530052,766.0,127.0,1726.7184503362673,945.7003715242818,1244.0,256.0,1172.2916811223517,840.0796273215942,824.0,154.0,609.9115795038866,719.1631972092191,326.0,85.0
