plate,compound,mean_C1,std_C1,median_C1,mad_C1,mean_C2,std_C2,median_C2,mad_C2,mean_C3,std_C3,median_C3,mad_C3,mean_C4,std_C4,median_C4,mad_C4,mean_C5,std_C5,median_C5,mad_C5,mean_C6,std_C6,median_C6,mad_C6
P015085,CBK228145,12652.481,1594.5413,13058.0,1187.0,12651.331,1590.3035,13059.0,1182.0,12650.619,1588.0673,13058.0,1177.0,12649.566,1590.3983,13056.0,1177.0,12649.434,1593.023,13053.0,1180.0,12650.259,1595.9949,13050.0,1185.0
P015085,CBK277955,11328.935,1334.0372,11166.0,916.0,11326.785,1330.606,11162.0,916.0,11324.879,1330.0651,11159.0,916.0,11327.551,1329.8574,11162.0,915.0,11326.132,1332.1238,11160.0,915.0,11327.794,1336.4862,11159.0,919.0
P015085,CBK277972,10531.409,886.4679,10474.0,693.0,10526.1875,883.77484,10469.0,693.0,10526.219,879.3949,10468.0,691.0,10525.476,879.60284,10466.0,689.0,10526.587,883.607,10468.0,694.0,10530.294,878.2356,10475.0,685.0
P015085,CBK278064,10387.393,800.4819,10475.0,559.0,10385.366,798.502,10473.0,557.0,10384.24,797.4855,10471.0,557.0,10382.455,797.57,10467.0,557.0,10380.727,798.91016,10465.0,558.0,10378.821,799.61957,10463.0,558.0
P015085,CBK288259,11101.979,946.7968,11092.0,660.0,11103.974,937.11615,11102.0,650.0,11107.579,929.36816,11108.0,643.0,11104.108,931.8417,11102.0,645.0,11102.412,928.82184,11098.0,645.0,11110.425,942.3775,11102.0,656.0
P015085,CBK288281,12808.066,1335.6805,12482.0,933.0,12807.71,1331.45,12478.0,931.0,12806.736,1329.0494,12477.0,934.0,12805.379,1330.7885,12477.0,938.0,12805.161,1333.5933,12478.0,939.0,12806.314,1332.7532,12478.0,933.0
P015085,CBK288284,10646.816,776.26886,10605.0,582.0,10642.096,770.72577,10600.0,577.0,10642.067,769.2442,10598.0,575.0,10645.387,769.2103,10606.0,575.0,10644.528,772.00275,10605.0,578.0,10640.314,773.1367,10599.0,579.0
P015085,CBK288285,10990.25,709.93,11002.0,475.0,10985.766,703.7351,10996.0,474.0,10982.736,700.8017,10992.0,472.0,10982.55,702.7313,10990.0,473.0,10985.218,709.2229,10991.0,476.0,10982.953,708.7673,10989.0,476.0
P015085,CBK288286,11385.683,914.8482,11360.0,674.0,11385.207,910.21606,11358.0,673.0,11384.6045,907.0755,11357.0,674.0,11383.839,907.98987,11357.0,675.0,11383.063,910.246,11355.0,675.0,11382.262,911.0046,11354.0,675.0
P015085,CBK288288,10661.744,1372.9357,10807.0,1109.0,10661.398,1369.1064,10811.0,1105.0,10660.454,1367.7892,10812.0,1102.0,10659.454,1369.4624,10809.0,1101.0,10658.771,1371.6384,10807.0,1103.0,10657.591,1371.8956,10806.0,1104.0
P015085,CBK288349,11247.183,2087.9885,10319.0,909.0,11241.726,2082.6318,10313.0,903.0,11242.158,2079.049,10312.0,898.0,11242.175,2078.8838,10312.0,897.0,11241.002,2080.2349,10311.0,900.0,11240.3955,2080.7263,10310.0,900.0
