plate,compound,mean_C1,std_C1,median_C1,mad_C1,mean_C2,std_C2,median_C2,mad_C2,mean_C3,std_C3,median_C3,mad_C3,mean_C4,std_C4,median_C4,mad_C4,mean_C5,std_C5,median_C5,mad_C5
P015085,CBK288349,251.49524,236.77382,201.0,21.0,1059.1937,1645.8811,473.0,106.0,1529.8657,847.3329,1188.0,211.0,1099.135,928.5106,786.0,134.0,570.4148,738.05634,308.0,62.0
P015085,CBK290052,282.4438,265.11212,203.0,24.0,1187.587,1319.6626,731.0,294.0,1874.6271,955.26624,1705.0,566.0,1428.9939,1230.901,1018.0,289.0,762.8115,748.3285,495.0,189.0
P015085,CBK290334,295.23676,277.53305,208.0,26.0,1358.2075,1486.5602,817.0,322.0,1807.7875,902.6213,1662.0,597.0,1308.2657,957.46674,977.0,292.0,759.3494,791.6852,479.0,203.0
P015085,CBK290684,263.50177,225.37158,204.0,23.0,1076.3025,1255.1609,562.0,159.0,1639.1748,847.0455,1205.0,283.0,1180.2256,894.33466,806.0,173.0,625.16614,647.5171,345.0,100.0
P015085,CBK290766,213.78278,147.98773,195.0,19.0,793.22034,1936.9314,425.0,51.0,968.5865,525.6058,871.0,69.0,676.5451,501.81207,580.0,51.0,323.78226,436.119,238.0,25.0
P015085,CBK290770,205.37277,101.77743,194.0,18.0,628.12756,836.97986,474.0,67.0,1113.4064,482.8781,1060.0,136.0,763.4422,498.02567,696.0,90.0,293.19257,265.99677,243.0,28.0
P015085,CBK290772,268.14633,232.80019,205.0,23.0,1120.177,1327.4756,616.0,186.0,1728.9064,897.9238,1333.0,369.0,1228.7281,935.3089,849.0,196.0,672.47705,726.7682,380.0,120.0
P015085,CBK290801,248.08018,209.8129,200.0,21.0,1108.1802,1531.157,511.0,137.0,1475.106,768.8529,1129.0,213.0,1007.0957,721.9716,733.0,129.0,583.52014,655.1097,313.0,75.0
P015085,CBK290829,273.32114,240.42184,205.0,24.0,1101.9539,1232.5248,640.0,226.0,1783.7292,805.6643,1486.0,400.0,1225.2848,791.8315,927.0,204.0,630.54407,603.9811,387.0,125.0
P015085,CBK291084,291.6074,271.45352,208.0,25.0,1424.049,1516.9093,861.0,345.0,1904.8696,889.21783,1763.0,592.0,1401.6741,1001.5202,1053.0,300.0,761.4677,724.16565,494.0,188.0
P015085,CBK293886,252.09357,208.49562,203.0,22.0,998.2529,1380.5269,471.0,109.0,1452.7917,753.67145,1116.0,166.0,992.10095,709.75586,727.0,110.0,566.6216,687.1019,306.0,64.0
P015085,CBK303888,194.52466,38.741432,193.0,18.0,439.28592,466.86615,418.0,51.0,952.8061,150.71217,950.0,78.0,639.79755,136.29884,636.0,55.0,231.58769,158.31287,226.0,21.0
P015085,CBK308101,223.81429,169.88844,197.0,19.0,750.3985,1185.5781,473.0,74.0,1340.479,649.7852,1165.0,226.0,892.2059,562.3832,753.0,137.0,437.28113,567.68933,288.0,60.0
P015085,CBK308652,269.77972,271.35373,203.0,22.0,1182.5262,1515.0939,651.0,229.0,1674.6013,858.0327,1458.0,433.0,1186.3684,962.69855,861.0,192.0,670.76196,757.2689,412.0,132.0
P015085,CBK308709,292.87122,272.745,208.0,26.0,1357.736,1448.3251,815.0,340.0,1806.0604,864.3133,1667.0,574.0,1299.7765,937.1397,976.0,277.0,746.62854,746.41626,478.0,190.0
P015085,CBK308864,242.17198,196.45638,198.0,21.0,913.6189,1281.002,455.0,103.0,1463.146,679.4589,1154.0,194.0,984.97644,622.9878,750.0,120.0,508.5286,531.391,298.0,66.0
P015085,CBK308980,271.6092,243.71489,204.0,24.0,1324.4802,1532.8313,708.0,231.0,1667.0466,825.56683,1372.0,395.0,1217.4207,925.54565,856.0,201.0,641.97064,671.8522,377.0,128.0
P015085,CBK309086,286.36145,265.98926,207.0,25.0,1382.6652,1453.551,811.0,338.0,1798.7482,863.16,1594.0,523.0,1261.0365,890.47766,934.0,251.0,709.80005,705.9727,441.0,163.0
P015085,CBK309507,236.15263,195.80534,199.0,20.0,1011.871,2119.8188,431.0,63.0,1268.1765,944.8562,968.0,98.0,917.21497,856.0307,644.0,71.0,491.732,697.59204,270.0,36.0
P015085,CBK309653,348.50894,1094.1757,210.0,26.0,1376.0244,1573.5394,801.0,342.0,1867.2932,959.10846,1698.0,589.0,1345.9271,1022.1371,993.0,281.0,751.18835,741.7499,475.0,186.0
P015085,dmso,290.49036,262.21564,211.0,26.0,1181.8822,1331.0554,705.0,299.0,1926.2983,920.76886,1747.0,565.0,1356.5978,933.6831,1022.0,272.0,718.8153,724.8806,449.0,172.0
P015090,CBK041242,268.4105,226.21419,217.0,24.0,676.1167,951.02826,349.0,78.0,1169.5686,649.6268,876.0,137.0,814.5968,633.9888,577.0,95.0,492.4719,543.7302,288.0,53.0
P015090,CBK041487,293.95737,277.59375,220.0,25.0,1052.1294,1300.058,614.0,273.0,1390.4734,793.36816,1102.0,353.0,1008.37744,834.6114,722.0,217.0,613.57336,648.4373,349.0,105.0
P015090,CBK201016,232.73862,189.8103,211.0,21.0,613.2167,1276.7133,386.0,55.0,818.07965,425.82535,736.0,62.0,575.28125,469.59842,490.0,45.0,320.82535,459.0357,236.0,24.0
P015090,CBK261295,235.72,186.27524,214.0,21.0,546.619,1139.3254,336.0,38.0,778.78265,418.90216,699.0,50.0,553.01465,461.54956,467.0,38.0,318.5613,457.1377,233.0,25.0
P015090,CBK277934,223.79657,130.17911,211.0,20.0,423.0771,819.02655,300.0,36.0,722.91797,300.58493,674.0,54.0,500.04102,331.20584,450.0,40.0,295.5796,375.68152,236.0,25.0
P015090,CBK277935,221.27695,117.98999,211.0,20.0,376.68524,677.78375,295.0,32.0,705.0913,256.81497,672.0,54.0,489.264,286.67664,452.0,40.0,249.89246,178.92995,226.0,22.0
