plate,well,bf_site,fl_site,compound,grit,nuclei_count
P015084,M23,s1,s2,CBK288288,-0.026201728337744284,70.0
P015084,M23,s2,s4,CBK288288,1.0912690745622182,90.0
P015084,M23,s3,s5,CBK288288,0.28497962858136616,43.0
P015084,M23,s4,s6,CBK288288,0.4585759662326846,69.0
P015084,M23,s5,s8,CBK288288,0.657233873349895,62.0
P015084,C21,s1,s2,CBK308101,3.6912057478735365,29.0
P015084,C21,s2,s4,CBK308101,3.470365566603942,28.0
P015084,C21,s3,s5,CBK308101,2.893274665563614,28.0
P015084,C21,s4,s6,CBK308101,4.7159830801656515,19.0
P015084,C21,s5,s8,CBK308101,4.056474548227003,41.0
P015084,I08,s1,s2,CBK308101,4.722441747229948,12.0
P015084,I08,s3,s5,CBK308101,4.3138070637549735,14.0
P015084,I08,s4,s6,CBK308101,2.9948488937044946,21.0
P015084,B02,s2,s4,CBK290801,3.893264382265049,54.0
P015084,B02,s3,s5,CBK290801,4.334987204864539,27.0
P015084,B02,s5,s8,CBK290801,3.6582870783880894,61.0
P015084,G10,s1,s2,CBK290801,4.301128638733931,30.0
P015084,G10,s2,s4,CBK290801,3.6851569391499495,25.0
P015084,G10,s5,s8,CBK290801,3.703930192143819,44.0
P015084,O03,s1,s2,CBK290801,3.9199520443146127,38.0
P015084,O03,s2,s4,CBK290801,3.8341595101620234,16.0
P015084,O03,s3,s5,CBK290801,3.7985316757680665,20.0
P015084,O03,s4,s6,CBK290801,3.719972990599784,35.0
P015084,O03,s5,s8,CBK290801,3.768583216608113,15.0
P015084,D21,s1,s2,CBK288286,3.862799529504218,35.0
P015084,D21,s2,s4,CBK288286,3.79246800398767,47.0
P015084,D21,s3,s5,CBK288286,3.75707737955284,37.0
P015084,D21,s4,s6,CBK288286,3.74712452562892,37.0
P015084,D21,s5,s8,CBK288286,4.015825251883495,62.0
P015084,H19,s1,s2,CBK288286,3.668374752232468,44.0
P015084,H19,s2,s4,CBK288286,4.148449557388254,48.0
P015084,H19,s3,s5,CBK288286,3.766978339342189,52.0
P015084,H19,s4,s6,CBK288286,3.6959735554943016,30.0
P015084,H19,s5,s8,CBK288286,4.133058069934636,42.0
P015084,I03,s1,s2,CBK288286,3.8849666980923945,35.0
P015084,I03,s2,s4,CBK288286,3.8874657129311267,25.0
P015084,I03,s3,s5,CBK288286,4.038755301608648,27.0
P015084,I03,s5,s8,CBK288286,3.829362334074229,30.0
P015084,B12,s1,s2,CBK288281,3.1201208608848967,68.0
P015084,B12,s2,s4,CBK288281,3.3063757479765448,87.0
P015084,B12,s3,s5,CBK288281,3.4417741245893416,118.0
P015084,B12,s4,s6,CBK288281,2.8993763137230486,89.0
P015084,B12,s5,s8,CBK288281,3.0263996997248443,131.0
P015084,D13,s1,s2,CBK288281,3.1404689118960345,86.0
P015084,D13,s2,s4,CBK288281,3.6611691076817694,93.0
P015084,D13,s3,s5,CBK288281,2.9646582533130865,64.0
P015084,D13,s4,s6,CBK288281,3.2898569916316114,81.0
P015084,D13,s5,s8,CBK288281,2.693196809253449,88.0
P015084,L23,s1,s2,CBK288281,3.770654474190541,66.0
P015084,L23,s2,s4,CBK288281,3.249793582269981,79.0
P015084,L23,s3,s5,CBK288281,2.63856959587587,62.0
P015084,L23,s4,s6,CBK288281,2.7460870377422832,48.0
P015084,L23,s5,s8,CBK288281,2.0173088846007468,42.0
P015084,C03,s1,s2,CBK308652,4.685492675391456,49.0
P015084,C03,s2,s4,CBK308652,4.315056420668516,42.0
P015084,C03,s3,s5,CBK308652,4.732933566011946,48.0
P015084,C03,s5,s8,CBK308652,4.878473804752209,46.0
P015084,J20,s1,s2,CBK308652,4.648920088765756,53.0
P015084,J20,s2,s4,CBK308652,4.869866458536215,84.0
P015084,J20,s3,s5,CBK308652,4.313798150130312,59.0
P015084,J20,s4,s6,CBK308652,4.9293286580416815,33.0
P015084,J20,s5,s8,CBK308652,4.965559293896051,66.0
P015084,O07,s1,s2,CBK308652,4.624274643790099,44.0
P015084,O07,s2,s4,CBK308652,4.6429732336372656,26.0
P015084,O07,s3,s5,CBK308652,5.058858174808859,45.0
P015084,O07,s5,s8,CBK308652,5.076049567999823,70.0
P015084,F12,s1,s2,CBK308709,1.30474473183267,145.0
P015084,F12,s2,s4,CBK308709,1.3819751112624212,76.0
P015084,F12,s3,s5,CBK308709,1.725442695606435,127.0
P015084,F12,s4,s6,CBK308709,0.4723455742013588,117.0
P015084,F12,s5,s8,CBK308709,1.53798492240118,157.0
P015084,K04,s1,s2,CBK308709,1.2483375550622844,81.0
P015084,K04,s2,s4,CBK308709,1.4908180942153324,78.0
P015084,K04,s3,s5,CBK308709,1.1462766032203746,118.0
P015084,K04,s4,s6,CBK308709,0.7424920256708616,172.0
P015084,K04,s5,s8,CBK308709,1.5829022895572242,108.0
P015084,L18,s1,s2,CBK308709,0.7101250385622875,153.0
P015084,L18,s2,s4,CBK308709,1.0546210824581053,136.0
P015084,L18,s3,s5,CBK308709,1.1956132624971576,118.0
P015084,L18,s5,s8,CBK308709,1.6322412184935051,93.0
P015084,G23,s4,s6,CBK290770,4.010635292407657,14.0
P015084,M19,s1,s2,CBK290770,3.5001285990444484,18.0
P015084,G20,s1,s2,CBK308864,3.8571361578556607,49.0
P015084,G20,s2,s4,CBK308864,4.143014525330647,64.0
P015084,G20,s3,s5,CBK308864,4.088480919372799,71.0
P015084,G20,s5,s8,CBK308864,3.81134821615965,59.0
P015084,J05,s1,s2,CBK308864,3.772387353885352,55.0
P015084,J05,s3,s5,CBK308864,3.977667797309981,49.0
P015084,J05,s4,s6,CBK308864,3.676567185003892,54.0
P015084,J05,s5,s8,CBK308864,3.9262308667736256,43.0
P015084,O14,s1,s2,CBK308864,4.143311004709522,39.0
P015084,O14,s2,s4,CBK308864,3.804322381836201,31.0
P015084,O14,s3,s5,CBK308864,3.7281366068411135,40.0
P015084,O14,s5,s8,CBK308864,4.0937016985095385,23.0
P015084,E22,s1,s2,CBK308980,1.9382414261191157,93.0
P015084,E22,s2,s4,CBK308980,1.9135683086536737,103.0
P015084,E22,s3,s5,CBK308980,1.6320635156642402,85.0
P015084,E22,s4,s6,CBK308980,1.5775570828894239,55.0
